node.name	node.url	node.pullRequests.totalCount	node.openpullRequests.totalCount	node.closedPullRequests.totalCount	node.mergedPullRequests.totalCount	node.forks.totalCount	node.commitComments.totalCount	node.mentionableUsers.totalCount	node.assignableUsers.totalCount	node.issues.totalCount	node.totalIssues.totalIssues	node.openIssues.openIssues	node.languages.totalCount	node.releases.totalCount	node.watchers.totalCount	node.stargazers.totalCount	node.master.history.commits
oklog	https://github.com/oklog/oklog	56	6	8	42	136	0	12	5	88	88	37	7	10	118	2792	0
create-next-app	https://github.com/zeit/create-next-app	29	2	3	24	133	0	55	37	0	0	0	0	1	38	2754	2
charted	https://github.com/charted-co/charted	56	0	1	55	182	3	13	4	47	47	16	4	3	85	2746	0
Sia	https://github.com/NebulousLabs/Sia	1734	39	149	1546	439	122	51	9	1459	1459	150	3	39	308	2711	0
MSEC	https://github.com/Tencent/MSEC	8	0	5	3	731	0	8	5	42	42	31	16	0	336	2692	1
browserhtml	https://github.com/browserhtml/browserhtml	608	3	74	531	153	5	46	7	702	702	31	4	1	113	2626	0
KestrelHttpServer	https://github.com/aspnet/KestrelHttpServer	1542	0	389	1153	508	190	145	81	1458	1458	0	6	26	299	2598	0
bettercap	https://github.com/evilsocket/bettercap	92	0	16	76	345	26	27	1	0	0	0	0	50	190	2554	0
android-ConstraintLayoutExamples	https://github.com/googlearchive/android-ConstraintLayoutExamples	43	0	11	32	433	1	21	9	13	13	0	2	1	120	2543	6
heapster	https://github.com/kubernetes-retired/heapster	1287	0	204	1083	1215	39	179	9	824	824	0	4	46	150	2534	0
canner	https://github.com/Canner/canner	65	2	1	62	114	7	8	4	123	123	39	3	2	41	2534	0
kali-nethunter	https://github.com/offensive-security/kali-nethunter	138	3	41	94	787	76	36	6	1141	1141	26	0	0	447	2522	0
brew	https://github.com/Linuxbrew/brew	478	0	131	347	201	22	690	10	456	456	0	7	0	65	2520	0
android-Camera2Basic	https://github.com/googlearchive/android-Camera2Basic	30	0	29	1	1328	2	13	9	132	132	0	2	0	155	2485	1
react-native-fetch-blob	https://github.com/wkh237/react-native-fetch-blob	123	31	16	76	503	18	52	2	620	620	237	4	81	53	2476	0
vue-touch	https://github.com/vuejs/vue-touch	26	7	9	10	340	2	24	16	102	102	45	2	3	80	2465	0
agar.io-clone	https://github.com/huytd/agar.io-clone	244	2	51	191	946	39	58	5	287	287	93	4	0	156	2464	0
pourover	https://github.com/nytimes/pourover	30	2	12	16	116	2	49	559	36	36	5	4	0	82	2451	0
NMessenger	https://github.com/eBay/NMessenger	63	16	7	40	243	0	61	82	146	146	77	0	9	78	2447	0
AppleDNS	https://github.com/gongjianhui/AppleDNS	18	0	9	9	323	0	9	1	64	64	0	1	0	152	2441	0
weixin-java-tools	https://github.com/chanjarster/weixin-java-tools	83	0	44	39	1159	6	11	1	0	0	0	1	21	474	2441	0
PagingMenuController	https://github.com/kitasuke/PagingMenuController	172	9	12	151	403	2	14	1	208	208	69	3	17	65	2431	0
SignalR	https://github.com/aspnet/SignalR	1573	0	201	1372	426	116	225	189	1659	1659	0	11	1	259	2422	0
ConfuserEx	https://github.com/yck1509/ConfuserEx	64	17	25	22	821	15	18	1	619	619	301	2	12	299	2418	0
react-monocle	https://github.com/team-gryff/react-monocle	124	0	1	123	70	0	6	3	27	27	18	2	0	44	2406	0
contrib	https://github.com/kubernetes-retired/contrib	2021	0	444	1577	1591	73	278	9	987	987	0	9	5	199	2354	0
react-trend	https://github.com/unsplash/react-trend	15	1	2	12	61	0	16	12	13	13	0	1	8	26	2347	5
react-isomorphic-starterkit	https://github.com/RickWong/react-isomorphic-starterkit	28	4	7	17	185	4	16	1	117	117	15	2	13	72	2333	0
deliver	https://github.com/fastlane-old/deliver	116	0	23	93	167	30	52	4	502	502	0	0	110	67	2324	0
migrate	https://github.com/mattes/migrate	157	17	45	95	310	6	64	1	195	195	78	2	12	50	2306	0
hamburger-button	https://github.com/robb/hamburger-button	13	2	2	9	211	0	9	1	0	0	0	1	0	57	2295	0
rasa_core	https://github.com/RasaHQ/rasa_core	583	0	100	483	1025	15	108	39	0	0	0	5	2	147	2292	22
Free-Security-eBooks	https://github.com/Hack-with-Github/Free-Security-eBooks	18	1	7	10	676	0	8	2	4	4	2	0	0	270	2291	0
ansible-container	https://github.com/ansible/ansible-container	466	9	72	385	406	14	82	21	510	510	191	4	0	146	2284	0
angular-formly	https://github.com/formly-js/angular-formly	164	0	52	112	415	41	65	21	608	608	93	1	71	115	2272	0
react-starter	https://github.com/webpack/react-starter	51	9	14	28	341	6	94	116	64	64	23	3	0	63	2264	0
kotterknife	https://github.com/JakeWharton/kotterknife	51	8	18	25	211	0	14	1	34	34	9	2	0	67	2257	1
telepot	https://github.com/nickoala/telepot	38	8	15	15	382	12	10	1	426	426	100	1	0	123	2246	1
hack.chat	https://github.com/AndrewBelt/hack.chat	47	10	21	16	334	15	11	1	109	109	45	4	0	103	2214	0
ChatKit-OC	https://github.com/leancloud/ChatKit-OC	136	8	6	122	450	0	23	13	295	295	143	2	39	82	2209	5
tsf	https://github.com/Tencent/tsf	19	3	3	13	496	0	12	6	27	27	24	1	0	264	2200	1
Sketch-Toolbox	https://github.com/buzzfeed/Sketch-Toolbox	15	7	2	6	132	2	29	25	69	69	40	3	0	107	2184	0
regexper-static	https://github.com/javallone/regexper-static	10	3	2	5	304	0	4	1	41	41	12	3	0	105	2168	0
goldfish	https://github.com/Caiyeon/goldfish	67	0	13	54	151	2	16	1	226	226	26	4	21	76	2167	0
Messenger-for-Desktop	https://github.com/aluxian/Messenger-for-Desktop	101	2	34	65	272	21	20	2	1241	1241	95	7	26	119	2163	0
ScpToolkit	https://github.com/nefarius/ScpToolkit	25	0	3	22	305	14	16	1	1008	1008	0	4	42	208	2138	0
guide	https://github.com/freeCodeCamp/guide	9992	0	5019	4973	4863	27	990	160	294	294	0	0	0	165	2136	1
prototype	https://github.com/AssemblyScript/prototype	34	1	17	16	53	3	3	1	90	90	31	4	0	77	2123	0
ci	https://github.com/fastlane/ci	674	0	84	590	77	52	44	27	444	444	0	7	1	58	2118	0
react-autocomplete	https://github.com/reactjs/react-autocomplete	164	33	84	47	455	3	38	20	231	231	58	2	0	48	2100	0
grid	https://github.com/rebassjs/grid	56	0	10	46	101	13	18	1	132	132	0	2	2	27	2098	9
universal-starter	https://github.com/angular/universal-starter	178	6	49	123	707	40	69	20	512	512	84	3	1	142	2077	1
IdentityServer3	https://github.com/IdentityServer/IdentityServer3	273	22	118	133	789	33	54	6	3633	3633	72	7	36	248	2069	0
Unbox	https://github.com/JohnSundell/Unbox	95	7	27	61	160	3	34	1	0	0	0	2	28	35	2020	0
snapshot	https://github.com/fastlane-old/snapshot	143	0	30	113	147	10	61	4	342	342	0	0	79	48	2016	0
react-native-dribbble-app	https://github.com/catalinmiron/react-native-dribbble-app	17	6	2	9	371	0	5	1	21	21	13	3	0	79	1987	1
phphub5	https://github.com/summerblue/phphub5	18	2	5	11	477	7	10	4	107	107	26	5	0	128	1976	0
commit	https://github.com/enkidevs/commit	20	0	9	11	32	6	1000	18	19	19	1	0	0	42	1969	0
stacks-cli	https://github.com/WeiChiaChang/stacks-cli	16	5	4	7	69	0	7	1	23	23	18	2	2	31	1963	0
laravel-translatable	https://github.com/dimsav/laravel-translatable	180	0	74	106	311	5	49	3	403	403	0	1	44	67	1956	48
sites-using-cloudflare	https://github.com/pirate/sites-using-cloudflare	145	0	36	109	256	6	79	1	83	83	6	0	0	86	1924	0
zazu	https://github.com/tinytacoteam/zazu	163	0	20	143	123	2	64	6	195	195	69	4	18	62	1916	152
LayaAir_Discard	https://github.com/layabox/LayaAir_Discard	16	1	4	11	481	1	20	10	62	62	37	8	3	171	1913	4
WeChatPlugin-iOS	https://github.com/TKkk-iOSer/WeChatPlugin-iOS	4	2	0	2	338	0	1	1	95	95	35	4	0	64	1912	0
node-convergence-archive	https://github.com/nodejs/node-convergence-archive	20	5	12	3	96	0	772	121	62	62	0	12	0	200	1910	0
cooking	https://github.com/ElemeFE/cooking	69	4	3	62	293	0	8	7	133	133	23	3	2	80	1910	0
Simple-Web-Server	https://github.com/eidheim/Simple-Web-Server	71	13	27	31	598	39	29	1	159	159	42	3	15	159	1903	0
dubbo-spring-boot-starter	https://github.com/alibaba/dubbo-spring-boot-starter	11	1	7	3	695	3	29	29	104	104	32	1	0	200	1899	0
TrueCraft	https://github.com/ddevault/TrueCraft	135	1	25	109	233	125	27	4	148	148	48	3	0	143	1880	0
Identity	https://github.com/aspnet/Identity	662	0	291	371	808	41	251	191	1299	1299	0	7	22	316	1875	0
fb.resnet.torch	https://github.com/facebookarchive/fb.resnet.torch	40	6	8	26	596	1	35	15	167	167	55	1	0	117	1874	1
HubFramework	https://github.com/spotify/HubFramework	304	11	30	263	143	4	88	61	0	0	0	6	10	63	1871	0
vim-go-tutorial	https://github.com/fatih/vim-go-tutorial	42	0	5	37	161	0	33	1	29	29	0	2	0	61	1857	0
zmirror	https://github.com/aploium/zmirror	7	3	0	4	598	9	3	2	87	87	35	1	3	127	1844	0
minigrid	https://github.com/henriquea/minigrid	32	2	9	21	129	4	16	2	0	0	0	3	33	59	1815	0
laravel-graphql	https://github.com/folkloreinc/laravel-graphql	133	18	31	84	228	0	50	3	272	272	107	2	0	61	1805	0
Dotzu	https://github.com/remirobert/Dotzu	17	8	3	6	142	0	6	1	41	41	13	3	0	39	1797	0
react-mdl	https://github.com/tleunen/react-mdl	222	2	117	103	247	20	55	1	285	285	75	3	14	59	1763	0
TinyDancer	https://github.com/friendlyrobotnyc/TinyDancer	39	2	0	37	150	2	6	3	34	34	8	1	2	60	1761	1
MaterialSearchBar	https://github.com/mancj/MaterialSearchBar	18	4	6	8	282	0	8	1	106	106	58	1	19	41	1759	0
react-d3	https://github.com/esbullington/react-d3	191	0	28	163	176	11	27	2	156	156	14	2	1	65	1757	0
html	https://github.com/w3c/html	675	4	65	606	370	112	136	94	941	941	0	3	0	288	1757	1
react-starter-kit	https://github.com/bodyno/react-starter-kit	54	5	5	44	412	2	6	1	79	79	22	3	1	94	1745	0
react-universally	https://github.com/ctrlplusb/react-universally	194	10	91	93	256	24	28	9	403	403	50	2	0	79	1712	0
hexo-theme-apollo	https://github.com/pinggod/hexo-theme-apollo	34	0	14	20	501	8	18	1	0	0	0	3	0	45	1704	1
http2	https://github.com/bradfitz/http2	49	0	27	22	125	3	12	1	36	36	0	2	0	100	1703	0
peloton	https://github.com/cmu-db/peloton	897	31	202	664	549	18	131	36	598	598	159	10	0	173	1703	0
kotlin-guides	https://github.com/android/kotlin-guides	41	4	12	25	113	0	23	33	30	30	18	1	0	88	1700	0
retrofit2-kotlin-coroutines-adapter	https://github.com/JakeWharton/retrofit2-kotlin-coroutines-adapter	15	3	6	6	96	0	6	1	34	34	7	3	0	61	1699	3
tiger	https://github.com/googlearchive/tiger	12	0	0	12	94	2	19	10	0	0	0	2	0	85	1690	1
permissions4m	https://github.com/jokermonn/permissions4m	1	1	0	0	231	1	1	1	72	72	64	1	28	40	1689	1
CNPPopupController	https://github.com/carsonxyz/CNPPopupController	23	0	9	14	213	0	10	1	0	0	0	3	15	47	1689	0
PunchClock	https://github.com/panicinc/PunchClock	23	1	9	13	170	0	9	11	0	0	0	3	0	91	1686	1
osxcollector	https://github.com/Yelp/osxcollector	101	1	10	90	200	8	82	258	75	75	17	3	1	129	1685	1
wechat-api	https://github.com/biezhi/wechat-api	5	0	0	5	665	2	5	1	87	87	2	1	3	154	1682	0
talon-twitter-holo	https://github.com/klinker24/talon-twitter-holo	25	0	5	20	342	6	13	2	19	19	0	2	1	107	1676	0
Potatso	https://github.com/haxpor/Potatso	10	1	1	8	1127	3	6	2	116	116	52	3	3	84	1671	0
chain	https://github.com/chain/chain	1363	0	130	1233	334	7	24	3	121	121	0	12	32	172	1668	0
nsp	https://github.com/nodesecurity/nsp	94	0	36	58	111	11	25	3	0	0	0	1	0	55	1664	0
dingdang-robot	https://github.com/wzpan/dingdang-robot	36	0	11	25	499	1	13	3	102	102	2	4	16	177	1647	0
foundation-apps	https://github.com/zurb/foundation-apps	247	16	54	177	228	88	74	13	589	589	131	4	7	131	1643	0
vrview	https://github.com/googlearchive/vrview	91	11	32	48	1043	3	30	12	236	236	94	4	0	173	1641	0
noc-book	https://github.com/nature-of-code/noc-book	40	0	8	32	320	6	41	2	109	109	0	6	0	139	1637	23
xenko	https://github.com/SiliconStudio/xenko	41	2	24	15	371	2	10	10	637	637	241	0	0	205	1632	0
old	https://github.com/mtdhb/old	13	0	2	11	285	13	6	6	34	34	1	4	16	44	1621	0
nd4j	https://github.com/deeplearning4j/nd4j	1635	3	66	1566	504	42	98	16	1285	1285	177	3	0	147	1611	0
music	https://github.com/maicong/music	3	1	1	1	562	0	2	1	0	0	0	3	15	69	1595	1
mentat	https://github.com/mozilla/mentat	341	13	108	220	89	32	41	37	481	481	220	8	9	66	1581	0
babylon	https://github.com/babel/babylon	506	1	82	423	222	12	147	29	276	276	1	2	61	50	1557	0
parinfer	https://github.com/shaunlebron/parinfer	27	2	3	22	29	5	9	2	169	169	29	5	14	36	1556	0
cherow	https://github.com/cherow/cherow	150	0	32	118	37	63	18	4	203	203	0	2	3	30	1545	12
wechat-app-demo	https://github.com/xwartz/wechat-app-demo	6	0	4	2	446	2	3	2	18	18	0	2	0	98	1534	0
InOneWeekend	https://github.com/RayTracing/InOneWeekend	31	2	1	28	202	3	14	12	0	0	0	4	1	75	1529	98
react-javascript-to-typescript-transform	https://github.com/lyft/react-javascript-to-typescript-transform	32	0	13	19	53	0	52	48	28	28	0	2	3	34	1517	0
PPNetworkHelper	https://github.com/jkpang/PPNetworkHelper	4	2	1	1	325	2	2	1	61	61	32	2	0	43	1514	0
dripcap	https://github.com/dripcap/dripcap	1	0	1	0	66	0	1	1	20	20	6	0	90	46	1511	0
i-am-chinese-the-dragonfly-must-go-on	https://github.com/ithinco/i-am-chinese-the-dragonfly-must-go-on	5	0	4	1	41	1	2	1	0	0	0	0	0	51	1508	0
UnityDecompiled	https://github.com/MattRix/UnityDecompiled	6	0	0	6	391	1	1	1	6	6	0	0	0	248	1496	0
tensorflow-mnist-tutorial	https://github.com/martin-gorner/tensorflow-mnist-tutorial	17	0	11	6	694	8	6	1	50	50	0	0	0	145	1482	0
Hello-world	https://github.com/Aniket965/Hello-world	4746	17	766	3963	3256	12	1000	4	19	19	4	140	0	46	1475	0
tensorflow-resnet	https://github.com/ry/tensorflow-resnet	5	4	1	0	536	0	1	1	43	43	34	1	0	56	1472	0
VideoCore-Inactive	https://github.com/jgh-/VideoCore-Inactive	75	15	10	50	450	3	16	2	293	293	181	6	0	132	1468	0
react-trello-board	https://github.com/web-pal/react-trello-board	2	0	0	2	281	0	5	1	11	11	10	3	0	51	1462	0
