node.name	node.url	node.pullRequests.totalCount	node.openpullRequests.totalCount	node.closedPullRequests.totalCount	node.mergedPullRequests.totalCount	node.forks.totalCount	node.commitComments.totalCount	node.mentionableUsers.totalCount	node.assignableUsers.totalCount	node.issues.totalCount	node.totalIssues.totalIssues	node.openIssues.openIssues	node.languages.totalCount	node.releases.totalCount	node.watchers.totalCount	node.stargazers.totalCount	node.master.history.commits
Awesome-Hacking	https://github.com/Hack-with-Github/Awesome-Hacking	51	5	27	19	4801	8	16	2	13	13	1	0	0	2780	32002	6
hyper	https://github.com/zeit/hyper	1091	21	260	810	2543	138	275	44	2832	2832	670	5	63	499	31655	15
material-design-lite	https://github.com/google/material-design-lite	1152	10	487	655	5193	553	200	38	2141	2141	356	3	14	1305	31459	0
awesome-courses	https://github.com/prakhar1989/awesome-courses	249	19	49	181	5656	5	125	1	57	57	25	0	0	2312	31250	0
learn-regex	https://github.com/ziishaned/learn-regex	119	11	16	92	3993	2	74	1	58	58	27	0	0	834	31162	49
tesseract	https://github.com/tesseract-ocr/tesseract	1093	7	125	961	5639	438	114	6	1636	1636	218	9	7	1576	30710	500
vue2-elm	https://github.com/bailicangdu/vue2-elm	32	0	13	19	9906	5	12	1	471	471	50	4	0	1449	30394	1
33-js-concepts	https://github.com/leonardomso/33-js-concepts	108	3	21	84	2777	6	61	1	21	21	7	1	0	1015	29785	61
awesome-interview-questions	https://github.com/MaximAbramchuck/awesome-interview-questions	150	8	15	127	3517	0	107	4	22	22	3	0	0	1352	29771	32
face_recognition	https://github.com/ageitgey/face_recognition	115	7	44	64	7878	6	29	1	849	849	386	3	2	1420	29328	20
android-open-project	https://github.com/Trinea/android-open-project	278	10	67	201	11131	4	116	1	77	77	10	0	0	3783	29301	0
github-cheat-sheet	https://github.com/tiimgreen/github-cheat-sheet	147	3	19	125	4097	10	81	2	43	43	3	0	0	1431	29106	5
XX-Net	https://github.com/XX-net/XX-Net	473	2	117	354	7587	191	71	9	12119	12119	7361	8	272	1810	29008	15
frp	https://github.com/fatedier/frp	309	7	94	208	5206	6	43	4	1174	1174	62	7	46	1307	28958	64
MPAndroidChart	https://github.com/PhilJay/MPAndroidChart	422	82	154	186	7333	248	67	3	4271	4271	1522	1	44	1117	28932	2
immutable-js	https://github.com/immutable-js/immutable-js	594	30	186	378	1594	42	199	2	1146	1146	128	5	57	588	28594	0
